g_mag,u0g,u0m010,u0m009,u0m008,u0m007,u0m006,u0m005,u0m004,u0m003,u0m002,u0m001,u0p000,u0p001,u0p002,u0p003,u0p004,u0p005,u0p006,u0p007,u0p008,u0p009,u0p010,u0p011,u0p012,u0p013,u0p014,u0p015,u0p016,u0p017,u0p018,u0p019,u0p020,u0p021,u0p022,u0p023,u0p024,u0p025,u0p026,u0p027,u0p028,u0p029,u0p030,u0p031,u0p032,u0p033,u0p034,u0p035,u0p036,u0p037,u0p038,u0p039,u0p040,u0p041,u0p042,u0p043,u0p044,u0p045,u0p046,u0p047,u0p048,u0p049,u0p050,u0p051,u0p052,u0p053,u0p054,u0p055,u0p056,u0p057,u0p058,u0p059,u0p060,u0p061,u0p062,u0p063,u0p064,u0p065,u0p066,u0p067,u0p068,u0p069,u0p070,u0p071,u0p072,u0p073,u0p074,u0p075,u0p076,u0p077,u0p078,u0p079,u0p080,u0p081,u0p082,u0p083,u0p084,u0p085,u0p086,u0p087,u0p088,u0p089,u0p090,u0p091,u0p092,u0p093,u0p094,u0p095,u0p096,u0p097,u0p098,u0p099,u0p100
 3.70,13.267666,19.656521,19.373692,19.086673,18.795271,18.499279,18.198474,17.892613,17.581431,17.264641,16.941929,16.612950,16.277322,15.934627,15.584399,15.226116,14.859197,14.482985,14.116767,13.781857,13.480589,13.211188,12.971487,12.763161,12.573672,12.389584,12.211139,12.044446,11.895929,11.766276,11.662087,11.590059,11.550791,11.536362,11.538606,11.557515,11.584754,11.612031,11.639345,11.666650,11.693902,11.721102,11.748251,11.775355,11.802412,11.829424,11.856391,11.883355,11.910360,11.937404,11.964488,11.991612,12.018775,12.045976,12.073216,12.100494,12.127811,12.155165,12.182557,12.209986,12.237452,12.264955,12.292495,12.320071,12.347683,12.375330,12.403014,12.430732,12.458486,12.486275,12.514098,12.541956,12.569848,12.597774,12.625733,12.653727,12.681753,12.709813,12.737905,12.766030,12.794188,12.822377,12.850599,12.878852,12.907137,12.935454,12.963801,12.992180,13.020589,13.049029,13.077499,13.105999,13.134530,13.163090,13.191679,13.220298,13.248947,13.277624,13.306330,13.335065,13.363828,13.392619,13.421439,13.450286,13.479161,13.508064,13.536994,13.565951,13.594935,13.623946,13.652984,13.682048
 3.71,13.249233,19.656098,19.370614,19.080860,18.786637,18.487733,18.183916,17.874935,17.560519,17.240370,16.914162,16.581538,16.242104,15.895422,15.541009,15.178323,14.806756,14.425621,14.055820,13.720481,13.422188,13.156529,12.918456,12.709520,12.518582,12.333690,12.155120,11.989334,11.843129,11.717235,11.616427,11.545500,11.505008,11.487830,11.486631,11.501417,11.524331,11.547547,11.571065,11.594728,11.618380,11.642022,11.665666,11.689320,11.712987,11.736665,11.760354,11.784211,11.808387,11.832883,11.857695,11.882821,11.908260,11.934010,11.960069,11.986434,12.013104,12.040076,12.067349,12.094920,12.122788,12.150951,12.179405,12.208150,12.237184,12.266504,12.296107,12.325994,12.356160,12.386604,12.417324,12.448319,12.479585,12.511121,12.542925,12.574995,12.607328,12.639924,12.672779,12.705892,12.739261,12.772883,12.806757,12.840881,12.875253,12.909870,12.944731,12.979834,13.015177,13.050758,13.086575,13.122626,13.158909,13.195423,13.232164,13.269132,13.306325,13.343740,13.381376,13.419231,13.457303,13.495591,13.534092,13.572804,13.611726,13.650856,13.690193,13.729733,13.769477,13.809421,13.849565,13.889906
 3.72,13.231735,19.647793,19.360046,19.067958,18.771325,18.469928,18.163532,17.851877,17.534683,17.211646,16.882428,16.546661,16.203938,15.853808,15.495769,15.129259,14.753647,14.368219,13.995307,13.659651,13.364058,13.101519,12.864157,12.653388,12.459885,12.273625,12.094945,11.930562,11.787531,11.666638,11.570367,11.501139,11.459443,11.439110,11.433779,11.443472,11.460975,11.479093,11.497821,11.516873,11.535962,11.555090,11.574275,11.593537,11.612876,11.632292,11.651784,11.671635,11.692129,11.713262,11.735030,11.757430,11.780459,11.804112,11.828385,11.853276,11.878781,11.904894,11.931613,11.958932,11.986849,12.015359,12.044458,12.074141,12.104404,12.135242,12.166653,12.198630,12.231170,12.264268,12.297920,12.332120,12.366865,12.402150,12.437971,12.474322,12.511199,12.548597,12.586513,12.624940,12.663875,12.703313,12.743249,12.783678,12.824597,12.865999,12.907881,12.950238,12.993064,13.036357,13.080110,13.124320,13.168982,13.214090,13.259641,13.305631,13.352053,13.398905,13.446181,13.493878,13.541990,13.590513,13.639443,13.688775,13.738506,13.788630,13.839144,13.890043,13.941323,13.992981,14.045010,14.097409
 3.73,13.183033,19.644091,19.353389,19.058286,18.758573,18.454027,18.144403,17.829438,17.508843,17.182303,16.849473,16.509971,16.163378,15.809227,15.446979,15.076029,14.695718,14.305300,13.928034,13.589727,13.293354,13.030263,12.790779,12.576250,12.378601,12.189138,12.008248,11.842937,11.700558,11.581959,11.487890,11.418976,11.375672,11.352544,11.343981,11.350016,11.363814,11.378544,11.394201,11.410356,11.426581,11.442877,11.459269,11.475785,11.492423,11.509182,11.526063,11.543448,11.561715,11.580861,11.600882,11.621773,11.643530,11.666147,11.689619,11.713942,11.739109,11.765117,11.791959,11.819629,11.848121,11.877431,11.907551,11.938475,11.970198,12.002713,12.036013,12.070093,12.104945,12.140562,12.176939,12.214068,12.251943,12.290556,12.329901,12.369971,12.410758,12.452256,12.494457,12.537355,12.580942,12.625211,12.670155,12.715767,12.762039,12.808966,12.856538,12.904750,12.953594,13.003063,13.053149,13.103847,13.155148,13.207045,13.259533,13.312603,13.366249,13.420463,13.475240,13.530572,13.586452,13.642874,13.699831,13.757316,13.815323,13.873844,13.932875,13.992408,14.052437,14.112955,14.173956,14.235435
 3.74,13.109820,19.640837,19.346721,19.048153,18.744921,18.436794,18.123523,17.804837,17.480439,17.150005,16.813180,16.469570,16.118743,15.760216,15.393397,15.017619,14.632195,14.236340,13.853936,13.511535,13.212248,12.946355,12.703000,12.483503,12.280667,12.086721,11.902098,11.734189,11.590754,11.472710,11.379440,11.310139,11.265249,11.239883,11.228989,11.232609,11.244115,11.256878,11.270892,11.285576,11.300352,11.315219,11.330209,11.345352,11.360648,11.376097,11.391697,11.407902,11.425162,11.443471,11.462826,11.483220,11.504649,11.527106,11.550585,11.575081,11.600586,11.627094,11.654599,11.683093,11.712569,11.743019,11.774437,11.806813,11.840142,11.874414,11.909621,11.945755,11.982808,12.020770,12.059635,12.099392,12.140034,12.181550,12.223933,12.267174,12.311263,12.356190,12.401948,12.448527,12.495918,12.544112,12.593098,12.642869,12.693415,12.744727,12.796795,12.849610,12.903163,12.957446,13.012448,13.068161,13.124575,13.181683,13.239474,13.297940,13.357072,13.416861,13.477298,13.538375,13.600083,13.662414,13.725359,13.788910,13.853057,13.917794,13.983112,14.049003,14.115458,14.182470,14.250031,14.318134
 3.75,13.022160,19.635084,19.337435,19.035301,18.728463,18.416687,18.099717,17.777276,17.449061,17.114738,16.773944,16.426274,16.071284,15.708476,15.337236,14.956876,14.566681,14.165837,13.778410,13.431202,13.127407,12.856753,12.607762,12.381744,12.172365,11.972761,11.783431,11.612133,11.467025,11.349113,11.256361,11.186487,11.139922,11.112347,11.099288,11.100796,11.110410,11.121660,11.134542,11.148292,11.162153,11.176123,11.190239,11.204537,11.219015,11.233673,11.248511,11.264049,11.280803,11.298770,11.317942,11.338314,11.359880,11.382632,11.406564,11.431668,11.457937,11.485362,11.513935,11.543648,11.574492,11.606457,11.639535,11.673717,11.708992,11.745350,11.782782,11.821278,11.860827,11.901418,11.943041,11.985686,12.029340,12.073994,12.119637,12.166256,12.213842,12.262382,12.311866,12.362282,12.413619,12.465865,12.519010,12.573041,12.627947,12.683717,12.740339,12.797803,12.856097,12.915209,12.975129,13.035846,13.097347,13.159623,13.222663,13.286454,13.350988,13.416252,13.482237,13.548932,13.616326,13.684410,13.753172,13.822603,13.892693,13.963431,14.034808,14.106815,14.179441,14.252678,14.326515,14.400944
 3.76,12.888158,19.617213,19.315241,19.008831,18.697764,18.381805,18.060695,17.734157,17.401883,17.063539,16.718757,16.367129,16.008204,15.641480,15.266590,14.883114,14.490372,14.087588,13.698302,13.348768,13.042182,12.767895,12.514014,12.281804,12.065180,11.857533,11.659343,11.479872,11.328901,11.207582,11.112762,11.040972,10.992664,10.963982,10.950912,10.953508,10.965064,10.978864,10.994899,11.012101,11.029410,11.046825,11.064383,11.082121,11.100039,11.118135,11.136409,11.155405,11.175661,11.197170,11.219926,11.243921,11.269147,11.295596,11.323258,11.352126,11.382190,11.413441,11.445869,11.479463,11.514215,11.550112,11.587145,11.625304,11.664575,11.704950,11.746415,11.788960,11.832574,11.877243,11.922957,11.969703,12.017470,12.066245,12.116016,12.166770,12.218497,12.271182,12.324815,12.379382,12.434872,12.491272,12.548570,12.606753,12.665809,12.725727,12.786494,12.848098,12.910527,12.973769,13.037813,13.102646,13.168257,13.234634,13.301766,13.369642,13.438250,13.507579,13.577618,13.648357,13.719783,13.791887,13.864658,13.938086,14.012160,14.086870,14.162206,14.238158,14.314717,14.391872,14.469614,14.547933
 3.77,12.746711,19.598717,19.292286,18.981428,18.665924,18.345533,18.019994,17.689023,17.352310,17.009512,16.660256,16.304125,15.940659,15.569345,15.190037,14.802564,14.406267,14.000397,13.608397,13.256445,12.947809,12.671289,12.414370,12.178293,11.957026,11.744007,11.539694,11.354740,11.200427,11.078038,10.983643,10.912942,10.866396,10.840216,10.830441,10.837117,10.853356,10.872273,10.893852,10.916798,10.939825,10.962933,10.986157,11.009534,11.033062,11.056741,11.080570,11.105074,11.130771,11.157656,11.185717,11.214948,11.245338,11.276879,11.309561,11.343373,11.378306,11.414350,11.451494,11.489727,11.529039,11.569418,11.610853,11.653334,11.696848,11.741385,11.786932,11.833479,11.881012,11.929521,11.978993,12.029418,12.080782,12.133074,12.186281,12.240393,12.295397,12.351281,12.408033,12.465641,12.524094,12.583380,12.643486,12.704403,12.766117,12.828617,12.891892,12.955931,13.020722,13.086253,13.152515,13.219496,13.287186,13.355572,13.424645,13.494395,13.564810,13.635881,13.707596,13.779947,13.852924,13.926515,14.000712,14.075506,14.150886,14.226843,14.303369,14.380453,14.458088,14.536264,14.614972,14.694205
 3.78,12.618322,19.585784,19.275192,18.960106,18.640300,18.315525,17.985513,17.649970,17.308575,16.960973,16.606775,16.245550,15.876819,15.500044,15.115181,14.722165,14.320325,13.908896,13.511784,13.155742,12.844188,12.565405,12.306279,12.068078,11.845017,11.630793,11.425903,11.241525,11.089498,10.971167,10.881953,10.816863,10.776335,10.756302,10.752535,10.765050,10.787102,10.811961,10.839607,10.868661,10.897759,10.926900,10.956118,10.985447,11.014886,11.044435,11.074091,11.104346,11.135683,11.168094,11.201570,11.236100,11.271675,11.308285,11.345921,11.384571,11.424226,11.464876,11.506509,11.549115,11.592684,11.637204,11.682665,11.729055,11.776365,11.824582,11.873696,11.923695,11.974569,12.026306,12.078896,12.132326,12.186587,12.241667,12.297556,12.354241,12.411712,12.469959,12.528971,12.588736,12.649244,12.710485,12.772448,12.835122,12.898498,12.962564,13.027311,13.092728,13.158806,13.225535,13.292904,13.360905,13.429527,13.498762,13.568599,13.639029,13.710044,13.781634,13.853790,13.926504,13.999767,14.073571,14.147906,14.222764,14.298138,14.374019,14.450399,14.527271,14.604626,14.682457,14.760756,14.839517
 3.79,12.481762,19.573822,19.259081,18.939745,18.615578,18.286322,17.951698,17.611399,17.265091,16.912403,16.552928,16.186215,15.811758,15.428995,15.037890,14.638390,14.229787,13.811275,13.407413,13.045766,12.729930,12.447984,12.186539,11.946941,11.723584,11.510335,11.307766,11.127239,10.980762,10.869713,10.789020,10.733173,10.702561,10.692418,10.697823,10.718752,10.748771,10.781477,10.816846,10.853524,10.890173,10.926793,10.963420,11.000087,11.036793,11.073539,11.110324,11.147576,11.185718,11.224741,11.264636,11.305394,11.347006,11.389461,11.432751,11.476866,11.521797,11.567535,11.614069,11.661390,11.709489,11.758356,11.807981,11.858356,11.909470,11.961314,12.013879,12.067155,12.121132,12.175802,12.231156,12.287183,12.343875,12.401223,12.459217,12.517849,12.577110,12.636990,12.697482,12.758575,12.820263,12.882536,12.945386,13.008804,13.072782,13.137313,13.202387,13.267997,13.334135,13.400794,13.467964,13.535640,13.603813,13.672475,13.741620,13.811241,13.881329,13.951879,14.022882,14.094333,14.166225,14.238550,14.311302,14.384475,14.458062,14.532058,14.606455,14.681248,14.756430,14.831997,14.907941,14.984258
 3.80,12.320675,19.559960,19.240838,18.916995,18.588184,18.254137,17.914561,17.569135,17.217508,16.859290,16.494054,16.121321,15.740560,15.351172,14.953030,14.545976,14.129239,13.701936,13.289603,12.920996,12.599951,12.314606,12.051576,11.812352,11.591077,11.381333,11.183769,11.009970,10.872145,10.771675,10.703390,10.661659,10.646796,10.652555,10.672558,10.706724,10.749042,10.793564,10.840263,10.887952,10.935462,10.982798,11.030000,11.077108,11.124123,11.171046,11.217879,11.264935,11.312524,11.360639,11.409272,11.458418,11.508070,11.558221,11.608865,11.659995,11.711606,11.763690,11.816241,11.869254,11.922722,11.976639,12.030999,12.085796,12.141024,12.196677,12.252749,12.309236,12.366130,12.423427,12.481120,12.539205,12.597676,12.656528,12.715755,12.775352,12.835314,12.895636,12.956313,13.017339,13.078711,13.140423,13.202470,13.264848,13.327552,13.390578,13.453920,13.517575,13.581538,13.645804,13.710371,13.775232,13.840385,13.905824,13.971547,14.037549,14.103826,14.170374,14.237189,14.304268,14.371607,14.439203,14.507051,14.575149,14.643492,14.712078,14.780903,14.849963,14.919256,14.988778,15.058526,15.128496
 3.81,12.141374,19.544904,19.221239,18.892703,18.559037,18.219958,17.875158,17.524301,17.167014,16.802887,16.431467,16.052245,15.664657,15.268064,14.862163,14.446599,14.020512,13.582912,13.160559,12.783702,12.456471,12.167331,11.903174,11.665699,11.448500,11.244538,11.054547,10.890264,10.764003,10.677112,10.624620,10.601086,10.606702,10.633129,10.671946,10.723019,10.780878,10.840148,10.900805,10.961976,11.022808,11.083306,11.143492,11.203387,11.262996,11.322324,11.381373,11.440309,11.499288,11.558311,11.617376,11.676484,11.735634,11.794825,11.854056,11.913326,11.972636,12.031985,12.091371,12.150795,12.210256,12.269753,12.329286,12.388855,12.448458,12.508096,12.567767,12.627472,12.687210,12.746980,12.806782,12.866615,12.926480,12.986376,13.046301,13.106257,13.166242,13.226256,13.286298,13.346369,13.406467,13.466594,13.526747,13.586927,13.647133,13.707366,13.767624,13.827907,13.888216,13.948549,14.008907,14.069289,14.129694,14.190124,14.250576,14.311051,14.371549,14.432069,14.492611,14.553175,14.613760,14.674367,14.734994,14.795642,14.856311,14.917000,14.977709,15.038437,15.099185,15.159952,15.220739,15.281544
