g_mag, u0
5.630000,2.992658
5.640000,2.968415
5.650000,2.948510
5.660000,2.945903
5.670000,2.938619
5.680000,2.917194
5.690000,2.890636
5.700000,2.863267
5.710000,2.827438
5.720000,2.772826
5.730000,2.722551
5.740000,2.671596
5.750000,2.613164
5.760000,2.539452
5.770000,2.484063
5.780000,2.439044
5.790000,2.398939
5.800000,2.363735
5.810000,2.344735
5.820000,2.326359
5.830000,2.302925
5.840000,2.279636
5.850000,2.261510
5.860000,2.244438
5.870000,2.212024
5.880000,2.181492
5.890000,2.150664
5.900000,2.116144
5.910000,2.074877
5.920000,2.043371
5.930000,2.016892
5.940000,1.992541
5.950000,1.970835
5.960000,1.954133
5.970000,1.937353
5.980000,1.920135
5.990000,1.903817
6.000000,1.889726
6.010000,1.877475
6.020000,1.862058
6.030000,1.846514
6.040000,1.830907
6.050000,1.814894
6.060000,1.796092
6.070000,1.778994
6.080000,1.764188
6.090000,1.750486
6.100000,1.737294
6.110000,1.727626
6.120000,1.719765
6.130000,1.711154
6.140000,1.703105
6.150000,1.697229
6.160000,1.692142
6.170000,1.682965
6.180000,1.673858
6.190000,1.664482
6.200000,1.654122
6.210000,1.641386
6.220000,1.631195
6.230000,1.622704
6.240000,1.614985
6.250000,1.607534
6.260000,1.604193
6.270000,1.601458
6.280000,1.597137
6.290000,1.592801
6.300000,1.589930
6.310000,1.585804
6.320000,1.578248
6.330000,1.571257
6.340000,1.563988
6.350000,1.555320
6.360000,1.544597
6.370000,1.537566
6.380000,1.532094
6.390000,1.527536
6.400000,1.523701
6.410000,1.523097
6.420000,1.522871
6.430000,1.521745
6.440000,1.520795
6.450000,1.521025
6.460000,1.521946
6.470000,1.519946
6.480000,1.517530
6.490000,1.514682
6.500000,1.511085
6.510000,1.505868
6.520000,1.501527
6.530000,1.497875
6.540000,1.494399
6.550000,1.490676
6.560000,1.486608
6.570000,1.484060
6.580000,1.482197
6.590000,1.480877
6.600000,1.480209
6.610000,1.482682
6.620000,1.484315
6.630000,1.484297
6.640000,1.483774
6.650000,1.483745
6.660000,1.483049
6.670000,1.479038
6.680000,1.474757
6.690000,1.469782
6.700000,1.463297
6.710000,1.453574
6.720000,1.446234
6.730000,1.440412
6.740000,1.435103
6.750000,1.429685
6.760000,1.424529
6.770000,1.421822
6.780000,1.419929
6.790000,1.418896
6.800000,1.419046
6.810000,1.422325
6.820000,1.424733
6.830000,1.426014
6.840000,1.427129
6.850000,1.428920
6.860000,1.431877
6.870000,1.431831
6.880000,1.430339
6.890000,1.427871
6.900000,1.424414
6.910000,1.416583
6.920000,1.409370
6.930000,1.404025
6.940000,1.399006
6.950000,1.393012
6.960000,1.387267
6.970000,1.385465
6.980000,1.384138
6.990000,1.383586
7.000000,1.384603
7.010000,1.388102
7.020000,1.389423
7.030000,1.389893
7.040000,1.390161
7.050000,1.390585
7.060000,1.390221
7.070000,1.388868
7.080000,1.387786
7.090000,1.386586
7.100000,1.384866
7.110000,1.382999
7.120000,1.382082
7.130000,1.381122
7.140000,1.380198
7.150000,1.379493
7.160000,1.379215
7.170000,1.378270
7.180000,1.376967
7.190000,1.375458
7.200000,1.373796
7.210000,1.371309
7.220000,1.368703
7.230000,1.366430
7.240000,1.364194
7.250000,1.361725
7.260000,1.359458
7.270000,1.357924
7.280000,1.356301
7.290000,1.354741
7.300000,1.353449
7.310000,1.351759
7.320000,1.349802
7.330000,1.348273
7.340000,1.346919
7.350000,1.345493
7.360000,1.344428
7.370000,1.344185
7.380000,1.343954
7.390000,1.343902
7.400000,1.344291
7.410000,1.345389
7.420000,1.345737
7.430000,1.345778
7.440000,1.345693
7.450000,1.345567
7.460000,1.345226
7.470000,1.344577
7.480000,1.343863
7.490000,1.343027
7.500000,1.341983
7.510000,1.340765
7.520000,1.339688
7.530000,1.338548
7.540000,1.337344
7.550000,1.336091
7.560000,1.334805
7.570000,1.333399
7.580000,1.331900
7.590000,1.330320
7.600000,1.328641
7.610000,1.326443
7.620000,1.324385
7.630000,1.322636
7.640000,1.320981
7.650000,1.319212
7.660000,1.317229
7.670000,1.316026
7.680000,1.315206
7.690000,1.314681
7.700000,1.314464
7.710000,1.315851
7.720000,1.317011
7.730000,1.317273
7.740000,1.317289
7.750000,1.317518
7.760000,1.315797
7.770000,1.313342
7.780000,1.311978
7.790000,1.310832
7.800000,1.308976
7.810000,1.307441
7.820000,1.308761
7.830000,1.310232
7.840000,1.312201
7.850000,1.315260
7.860000,1.320547
7.870000,1.324115
7.880000,1.326637
7.890000,1.328796
7.900000,1.330957
7.910000,1.332030
7.920000,1.331999
7.930000,1.332222
7.940000,1.332242
7.950000,1.331529
7.960000,1.330728
7.970000,1.331049
7.980000,1.331145
7.990000,1.331189
8.000000,1.331429
8.010000,1.331367
8.020000,1.330653
8.030000,1.330111
8.040000,1.329542
8.050000,1.328684
8.060000,1.327510
8.070000,1.327129
8.080000,1.326982
8.090000,1.327003
8.100000,1.327227
8.110000,1.327971
8.120000,1.328632
8.130000,1.329150
8.140000,1.329686
8.150000,1.330372
8.160000,1.330828
8.170000,1.331040
8.180000,1.331484
8.190000,1.332000
8.200000,1.332433
8.210000,1.333016
8.220000,1.334063
8.230000,1.335129
8.240000,1.336289
8.250000,1.337675
8.260000,1.339523
8.270000,1.340938
8.280000,1.342103
8.290000,1.343162
8.300000,1.344218
8.310000,1.345259
8.320000,1.345884
8.330000,1.346320
8.340000,1.346583
8.350000,1.346640
8.360000,1.346085
8.370000,1.345614
8.380000,1.345366
8.390000,1.345130
8.400000,1.344727
8.410000,1.344258
8.420000,1.344315
8.430000,1.344467
8.440000,1.344724
8.450000,1.345146
8.460000,1.345843
8.470000,1.346406
8.480000,1.346918
8.490000,1.347447
8.500000,1.348023
8.510000,1.348437
8.520000,1.348859
8.530000,1.349444
8.540000,1.350100
8.550000,1.350749
8.560000,1.351643
8.570000,1.352767
8.580000,1.353823
8.590000,1.354917
8.600000,1.356174
8.610000,1.357678
8.620000,1.358791
8.630000,1.359747
8.640000,1.360612
8.650000,1.361393
8.660000,1.361631
8.670000,1.361946
8.680000,1.362559
8.690000,1.363250
8.700000,1.363832
8.710000,1.364806
8.720000,1.366232
8.730000,1.367505
8.740000,1.368814
8.750000,1.370393
8.760000,1.372539
8.770000,1.373847
8.780000,1.374704
8.790000,1.375304
8.800000,1.375733
8.810000,1.375509
8.820000,1.374955
8.830000,1.374475
8.840000,1.373857
8.850000,1.372873
8.860000,1.371360
8.870000,1.370506
8.880000,1.369885
8.890000,1.369368
8.900000,1.368902
8.910000,1.368747
8.920000,1.368762
8.930000,1.368698
8.940000,1.368674
8.950000,1.368823
8.960000,1.369309
8.970000,1.369362
8.980000,1.369189
8.990000,1.368896
9.000000,1.368525
9.010000,1.367443
9.020000,1.366370
9.030000,1.365694
9.040000,1.365113
9.050000,1.364350
9.060000,1.363624
9.070000,1.363745
9.080000,1.364026
9.090000,1.364513
9.100000,1.365349
9.110000,1.367112
9.120000,1.368371
9.130000,1.369181
9.140000,1.369865
9.150000,1.370665
9.160000,1.371282
9.170000,1.371144
9.180000,1.370884
9.190000,1.370421
9.200000,1.369612
9.210000,1.368135
9.220000,1.367047
9.230000,1.366186
9.240000,1.365357
9.250000,1.364426
9.260000,1.363342
9.270000,1.362731
9.280000,1.362328
9.290000,1.362081
9.300000,1.361980
9.310000,1.362200
9.320000,1.362532
9.330000,1.362877
9.340000,1.363316
9.350000,1.363931
9.360000,1.364698
9.370000,1.365316
9.380000,1.365968
9.390000,1.366662
9.400000,1.367400
9.410000,1.368487
9.420000,1.369481
9.430000,1.370247
9.440000,1.370933
9.450000,1.371662
9.460000,1.372203
9.470000,1.372365
9.480000,1.372527
9.490000,1.372607
9.500000,1.372479
9.510000,1.371926
9.520000,1.371768
9.530000,1.371838
9.540000,1.372003
9.550000,1.372193
9.560000,1.372764
9.570000,1.373508
9.580000,1.374108
9.590000,1.374719
9.600000,1.375503
9.610000,1.376414
9.620000,1.376839
9.630000,1.377157
9.640000,1.377380
9.650000,1.377477
9.660000,1.377427
9.670000,1.377390
9.680000,1.377306
9.690000,1.377159
9.700000,1.376938
9.710000,1.376583
9.720000,1.376220
9.730000,1.375857
9.740000,1.375462
9.750000,1.374986
9.760000,1.373943
9.770000,1.373220
9.780000,1.372936
9.790000,1.372848
9.800000,1.372765
9.810000,1.373073
9.820000,1.374021
9.830000,1.375020
9.840000,1.376210
9.850000,1.377788
9.860000,1.379906
9.870000,1.381528
9.880000,1.383014
9.890000,1.384478
9.900000,1.385967
9.910000,1.387251
9.920000,1.388469
9.930000,1.389812
9.940000,1.391186
9.950000,1.392503
9.960000,1.394081
9.970000,1.395840
9.980000,1.397442
9.990000,1.399020
10.000000,1.400718
10.010000,1.402443
10.020000,1.403731
10.030000,1.404937
10.040000,1.406048
10.050000,1.407015
10.060000,1.407899
10.070000,1.408815
10.080000,1.409636
10.090000,1.410377
10.100000,1.411066
10.110000,1.411664
10.120000,1.412113
10.130000,1.412486
10.140000,1.412773
10.150000,1.412951
10.160000,1.412914
10.170000,1.412906
10.180000,1.412924
10.190000,1.412913
10.200000,1.412848
10.210000,1.413094
10.220000,1.413238
10.230000,1.413066
10.240000,1.412744
10.250000,1.412434
10.260000,1.412001
10.270000,1.410966
10.280000,1.409731
10.290000,1.408270
10.300000,1.406516
10.310000,1.404414
10.320000,1.402325
10.330000,1.400125
10.340000,1.397774
10.350000,1.395250
10.360000,1.392578
10.370000,1.389811
10.380000,1.386893
10.390000,1.383832
10.400000,1.380624
10.410000,1.376936
10.420000,1.373247
10.430000,1.369709
10.440000,1.366161
10.450000,1.362455
10.460000,1.358586
10.470000,1.355175
10.480000,1.351906
10.490000,1.348740
10.500000,1.345677
10.510000,1.342551
10.520000,1.339609
10.530000,1.336914
10.540000,1.334389
10.550000,1.331961
10.560000,1.329608
10.570000,1.327665
10.580000,1.325982
10.590000,1.324532
10.600000,1.323301
10.610000,1.322042
10.620000,1.321166
10.630000,1.320752
10.640000,1.320679
10.650000,1.320840
10.660000,1.321331
10.670000,1.322452
10.680000,1.323939
10.690000,1.325812
10.700000,1.328129
10.710000,1.331108
10.720000,1.334194
10.730000,1.337420
10.740000,1.340903
10.750000,1.344730
10.760000,1.348736
10.770000,1.352788
10.780000,1.357150
10.790000,1.361765
10.800000,1.366571
10.810000,1.371866
10.820000,1.377485
10.830000,1.383159
10.840000,1.389017
10.850000,1.395215
10.860000,1.402068
10.870000,1.408475
10.880000,1.414638
10.890000,1.420742
10.900000,1.426986
10.910000,1.433307
10.920000,1.439095
10.930000,1.444629
10.940000,1.449968
10.950000,1.455182
10.960000,1.460242
10.970000,1.464929
10.980000,1.469338
10.990000,1.473496
11.000000,1.477376
11.010000,1.480924
11.020000,1.484285
11.030000,1.487449
11.040000,1.490380
11.050000,1.493019
11.060000,1.495447
11.070000,1.497805
11.080000,1.499996
11.090000,1.502011
11.100000,1.503927
11.110000,1.505727
11.120000,1.507200
11.130000,1.508419
11.140000,1.509436
11.150000,1.510223
11.160000,1.510588
11.170000,1.510787
11.180000,1.510802
11.190000,1.510567
11.200000,1.510043
11.210000,1.509495
11.220000,1.508792
11.230000,1.507890
11.240000,1.506822
11.250000,1.505665
11.260000,1.504268
11.270000,1.502551
11.280000,1.500588
11.290000,1.498398
11.300000,1.496045
11.310000,1.493435
11.320000,1.490470
11.330000,1.487212
11.340000,1.483684
11.350000,1.479816
11.360000,1.475538
11.370000,1.471113
11.380000,1.466483
11.390000,1.461578
11.400000,1.456258
11.410000,1.450824
11.420000,1.445408
11.430000,1.439872
11.440000,1.434182
11.450000,1.428248
11.460000,1.422221
11.470000,1.416223
11.480000,1.410167
11.490000,1.404022
11.500000,1.397637
11.510000,1.391151
11.520000,1.384891
11.530000,1.378708
11.540000,1.372519
11.550000,1.366211
11.560000,1.360120
11.570000,1.354264
11.580000,1.348531
11.590000,1.342915
11.600000,1.337506
11.610000,1.332301
11.620000,1.327043
11.630000,1.321814
11.640000,1.316678
11.650000,1.311616
11.660000,1.306386
11.670000,1.301270
11.680000,1.296258
11.690000,1.291279
11.700000,1.286234
11.710000,1.281419
11.720000,1.276852
11.730000,1.272429
11.740000,1.268148
11.750000,1.264077
11.760000,1.260199
11.770000,1.256336
11.780000,1.252549
11.790000,1.248884
11.800000,1.245331
11.810000,1.241717
11.820000,1.238229
11.830000,1.234866
11.840000,1.231579
11.850000,1.228315
11.860000,1.225271
11.870000,1.222418
11.880000,1.219701
11.890000,1.217129
11.900000,1.214804
11.910000,1.212674
11.920000,1.210484
11.930000,1.208332
11.940000,1.206281
11.950000,1.204433
11.960000,1.202520
11.970000,1.200497
11.980000,1.198463
11.990000,1.196431
12.000000,1.194366
12.010000,1.192238
12.020000,1.190171
12.030000,1.188136
12.040000,1.186102
12.050000,1.183994
12.060000,1.181949
12.070000,1.180059
12.080000,1.178250
12.090000,1.176500
12.100000,1.174818
12.110000,1.173286
12.120000,1.171802
12.130000,1.170368
12.140000,1.169014
12.150000,1.167796
12.160000,1.166601
12.170000,1.165363
12.180000,1.164141
12.190000,1.162950
12.200000,1.161801
12.210000,1.160635
12.220000,1.159472
12.230000,1.158327
12.240000,1.157193
12.250000,1.156007
12.260000,1.154806
12.270000,1.153740
12.280000,1.152748
12.290000,1.151795
12.300000,1.150925
12.310000,1.150271
12.320000,1.149577
12.330000,1.148879
12.340000,1.148243
12.350000,1.147695
12.360000,1.146981
12.370000,1.146257
12.380000,1.145558
12.390000,1.144842
12.400000,1.144026
12.410000,1.143289
12.420000,1.142709
12.430000,1.142204
12.440000,1.141755
12.450000,1.141403
12.460000,1.141211
12.470000,1.140999
12.480000,1.140803
12.490000,1.140668
12.500000,1.140607
12.510000,1.140445
12.520000,1.140304
12.530000,1.140203
12.540000,1.140111
12.550000,1.139897
12.560000,1.139718
12.570000,1.139807
12.580000,1.140039
12.590000,1.140358
12.600000,1.140533
12.610000,1.140833
12.620000,1.141683
12.630000,1.142860
12.640000,1.144262
12.650000,1.145772
12.660000,1.147808
12.670000,1.150325
12.680000,1.153198
12.690000,1.156444
12.700000,1.160475
12.710000,1.165134
12.720000,1.169364
12.730000,1.173547
12.740000,1.177950
12.750000,1.183281
12.760000,1.188373
12.770000,1.192231
12.780000,1.195552
12.790000,1.198574
12.800000,1.201690
12.810000,1.203903
12.820000,1.204986
12.830000,1.205340
12.840000,1.205013
12.850000,1.203819
12.860000,1.201629
12.870000,1.199093
12.880000,1.196049
12.890000,1.192332
12.900000,1.187946
12.910000,1.183519
12.920000,1.178468
12.930000,1.172769
12.940000,1.166575
12.950000,1.160446
12.960000,1.153722
12.970000,1.145322
12.980000,1.135810
12.990000,1.125449
13.000000,1.113803
13.010000,1.099909
13.020000,1.085987
13.030000,1.071660
13.040000,1.056362
13.050000,1.038709
13.060000,1.021143
13.070000,1.005446
13.080000,0.990278
13.090000,0.975187
13.100000,0.959526
13.110000,0.945177
13.120000,0.932261
13.130000,0.920132
13.140000,0.908768
13.150000,0.898222
13.160000,0.888563
13.170000,0.879571
13.180000,0.871291
13.190000,0.863780
13.200000,0.857281
13.210000,0.851546
13.220000,0.846078
13.230000,0.841118
13.240000,0.836786
13.250000,0.833358
13.260000,0.830327
13.270000,0.827348
13.280000,0.824696
13.290000,0.822455
13.300000,0.820842
13.310000,0.819496
13.320000,0.818114
13.330000,0.816909
13.340000,0.815953
13.350000,0.815351
13.360000,0.814801
13.370000,0.814280
13.380000,0.813895
13.390000,0.813649
13.400000,0.813617
13.410000,0.813772
13.420000,0.813921
13.430000,0.814133
13.440000,0.814456
13.450000,0.815007
13.460000,0.815569
13.470000,0.816006
13.480000,0.816433
13.490000,0.816880
13.500000,0.817379
13.510000,0.817795
13.520000,0.818167
13.530000,0.818527
13.540000,0.818864
13.550000,0.819135
13.560000,0.819388
13.570000,0.819706
13.580000,0.820046
13.590000,0.820389
13.600000,0.820709
13.610000,0.821085
13.620000,0.821522
13.630000,0.821991
13.640000,0.822493
13.650000,0.823086
13.660000,0.823757
13.670000,0.824348
13.680000,0.824911
13.690000,0.825488
13.700000,0.826074
13.710000,0.826516
13.720000,0.826969
13.730000,0.827434
13.740000,0.827872
13.750000,0.828231
13.760000,0.828672
13.770000,0.829199
13.780000,0.829756
13.790000,0.830345
13.800000,0.830999
13.810000,0.831706
13.820000,0.832378
13.830000,0.833047
13.840000,0.833735
13.850000,0.834461
13.860000,0.835137
13.870000,0.835789
13.880000,0.836438
13.890000,0.837077
13.900000,0.837683
13.910000,0.838288
13.920000,0.838927
13.930000,0.839580
13.940000,0.840237
13.950000,0.840872
13.960000,0.841525
13.970000,0.842235
13.980000,0.842977
13.990000,0.843742
14.000000,0.844578
14.010000,0.845510
14.020000,0.846372
14.030000,0.847209
14.040000,0.848060
14.050000,0.848953
14.060000,0.849724
14.070000,0.850449
14.080000,0.851159
14.090000,0.851833
14.100000,0.852428
14.110000,0.853034
14.120000,0.853696
14.130000,0.854368
14.140000,0.855040
14.150000,0.855694
14.160000,0.856368
14.170000,0.857086
14.180000,0.857827
14.190000,0.858585
14.200000,0.859398
14.210000,0.860278
14.220000,0.861107
14.230000,0.861917
14.240000,0.862738
14.250000,0.863575
14.260000,0.864313
14.270000,0.865044
14.280000,0.865776
14.290000,0.866486
14.300000,0.867146
14.310000,0.867854
14.320000,0.868600
14.330000,0.869355
14.340000,0.870122
14.350000,0.870917
14.360000,0.871724
14.370000,0.872512
14.380000,0.873294
14.390000,0.874080
14.400000,0.874882
14.410000,0.875666
14.420000,0.876428
14.430000,0.877181
14.440000,0.877924
14.450000,0.878658
14.460000,0.879378
14.470000,0.880092
14.480000,0.880798
14.490000,0.881494
14.500000,0.882140
14.510000,0.882752
14.520000,0.883434
14.530000,0.884147
14.540000,0.884867
14.550000,0.885612
14.560000,0.886480
14.570000,0.887321
14.580000,0.888149
14.590000,0.889005
14.600000,0.889926
14.610000,0.890758
14.620000,0.891530
14.630000,0.892282
14.640000,0.893007
14.650000,0.893674
14.660000,0.894318
14.670000,0.894999
14.680000,0.895687
14.690000,0.896367
14.700000,0.897010
14.710000,0.897678
14.720000,0.898397
14.730000,0.899138
14.740000,0.899896
14.750000,0.900692
14.760000,0.901542
14.770000,0.902370
14.780000,0.903195
14.790000,0.904036
14.800000,0.904916
14.810000,0.905754
14.820000,0.906558
14.830000,0.907353
14.840000,0.908135
14.850000,0.908906
14.860000,0.909677
14.870000,0.910433
14.880000,0.911176
14.890000,0.911909
14.900000,0.912626
14.910000,0.913314
14.920000,0.914003
14.930000,0.914688
14.940000,0.915362
14.950000,0.916000
14.960000,0.916639
14.970000,0.917314
14.980000,0.918001
14.990000,0.918692
15.000000,0.919381
15.010000,0.920101
15.020000,0.920843
15.030000,0.921598
15.040000,0.922369
15.050000,0.923165
15.060000,0.923976
15.070000,0.924781
15.080000,0.925592
15.090000,0.926413
15.100000,0.927246
15.110000,0.928075
15.120000,0.928907
15.130000,0.929745
15.140000,0.930587
15.150000,0.931468
15.160000,0.932389
15.170000,0.933247
15.180000,0.934074
15.190000,0.934895
15.200000,0.935689
15.210000,0.936365
15.220000,0.937068
15.230000,0.937786
15.240000,0.938479
15.250000,0.939131
15.260000,0.939888
15.270000,0.940665
15.280000,0.941438
15.290000,0.942233
15.300000,0.943079
15.310000,0.943878
15.320000,0.944631
15.330000,0.945371
15.340000,0.946096
15.350000,0.946790
15.360000,0.947460
15.370000,0.948150
15.380000,0.948842
15.390000,0.949527
15.400000,0.950190
15.410000,0.950874
15.420000,0.951580
15.430000,0.952294
15.440000,0.953016
15.450000,0.953761
15.460000,0.954527
15.470000,0.955272
15.480000,0.956010
15.490000,0.956750
15.500000,0.957519
15.510000,0.958270
15.520000,0.958974
15.530000,0.959655
15.540000,0.960321
15.550000,0.960929
15.560000,0.961461
15.570000,0.962057
15.580000,0.962680
15.590000,0.963293
15.600000,0.963892
15.610000,0.964612
15.620000,0.965343
15.630000,0.966074
15.640000,0.966835
15.650000,0.967665
15.660000,0.968447
15.670000,0.969171
15.680000,0.969878
15.690000,0.970571
15.700000,0.971248
15.710000,0.971905
15.720000,0.972549
15.730000,0.973179
15.740000,0.973793
15.750000,0.974387
15.760000,0.974969
15.770000,0.975543
15.780000,0.976105
15.790000,0.976655
15.800000,0.977200
15.810000,0.977743
15.820000,0.978257
15.830000,0.978749
15.840000,0.979227
15.850000,0.979672
15.860000,0.980063
15.870000,0.980471
15.880000,0.980881
15.890000,0.981275
15.900000,0.981645
15.910000,0.982063
15.920000,0.982484
15.930000,0.982897
15.940000,0.983316
15.950000,0.983747
15.960000,0.984143
15.970000,0.984528
15.980000,0.984909
15.990000,0.985280
16.000000,0.985604
16.010000,0.985910
16.020000,0.986283
16.030000,0.986687
16.040000,0.987101
16.050000,0.987542
16.060000,0.988087
16.070000,0.988613
16.080000,0.989134
16.090000,0.989681
16.100000,0.990295
16.110000,0.990848
16.120000,0.991337
16.130000,0.991805
16.140000,0.992252
16.150000,0.992645
16.160000,0.992989
16.170000,0.993380
16.180000,0.993784
16.190000,0.994180
16.200000,0.994541
16.210000,0.994958
16.220000,0.995424
16.230000,0.995910
16.240000,0.996420
16.250000,0.997004
16.260000,0.997640
16.270000,0.998199
16.280000,0.998730
16.290000,0.999264
16.300000,0.999828
16.310000,1.000296
16.320000,1.000705
16.330000,1.001087
16.340000,1.001430
16.350000,1.001697
16.360000,1.001935
16.370000,1.002213
16.380000,1.002492
16.390000,1.002756
16.400000,1.002978
16.410000,1.003221
16.420000,1.003511
16.430000,1.003819
16.440000,1.004138
16.450000,1.004481
16.460000,1.004865
16.470000,1.005242
16.480000,1.005620
16.490000,1.006012
16.500000,1.006442
16.510000,1.006857
16.520000,1.007235
16.530000,1.007602
16.540000,1.007961
16.550000,1.008310
16.560000,1.008632
16.570000,1.008950
16.580000,1.009264
16.590000,1.009565
16.600000,1.009834
16.610000,1.010094
16.620000,1.010390
16.630000,1.010700
16.640000,1.011012
16.650000,1.011330
16.660000,1.011693
16.670000,1.012055
16.680000,1.012417
16.690000,1.012792
16.700000,1.013208
16.710000,1.013613
16.720000,1.013972
16.730000,1.014313
16.740000,1.014645
16.750000,1.014947
16.760000,1.015194
16.770000,1.015467
16.780000,1.015750
16.790000,1.016023
16.800000,1.016260
16.810000,1.016548
16.820000,1.016877
16.830000,1.017221
16.840000,1.017584
16.850000,1.018007
16.860000,1.018468
16.870000,1.018866
16.880000,1.019241
16.890000,1.019617
16.900000,1.019996
16.910000,1.020283
16.920000,1.020562
16.930000,1.020838
16.940000,1.021089
16.950000,1.021291
16.960000,1.021533
16.970000,1.021802
16.980000,1.022073
16.990000,1.022350
17.000000,1.022664
17.010000,1.022994
17.020000,1.023268
17.030000,1.023515
17.040000,1.023754
17.050000,1.023976
17.060000,1.024111
17.070000,1.024252
17.080000,1.024391
17.090000,1.024506
17.100000,1.024540
17.110000,1.024593
17.120000,1.024737
17.130000,1.024915
17.140000,1.025112
17.150000,1.025353
17.160000,1.025697
17.170000,1.026013
17.180000,1.026322
17.190000,1.026659
17.200000,1.027059
17.210000,1.027385
17.220000,1.027663
17.230000,1.027928
17.240000,1.028174
17.250000,1.028393
17.260000,1.028612
17.270000,1.028831
17.280000,1.029041
17.290000,1.029241
17.300000,1.029417
17.310000,1.029568
17.320000,1.029741
17.330000,1.029921
17.340000,1.030097
17.350000,1.030257
17.360000,1.030448
17.370000,1.030661
17.380000,1.030881
17.390000,1.031114
17.400000,1.031390
17.410000,1.031691
17.420000,1.031941
17.430000,1.032169
17.440000,1.032394
17.450000,1.032614
17.460000,1.032755
17.470000,1.032895
17.480000,1.033033
17.490000,1.033151
17.500000,1.033214
17.510000,1.033305
17.520000,1.033446
17.530000,1.033602
17.540000,1.033769
17.550000,1.033965
17.560000,1.034199
17.570000,1.034414
